"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 05 12:31:39 IST 2020","Tue May 05 12:31:47 IST 2020","7979","Yovo Automation Test Suite","Asus Device","com.automation.tests.HomePageTest","com.automation.tests.HomePageTest","swipeToNxtVideoTest","Swipe to next video test","TestCase Description: Swipe from one video to another"
"broken","Tue May 05 12:31:11 IST 2020","Tue May 05 12:31:21 IST 2020","10034","Yovo Automation Test Suite","Asus Device","com.automation.tests.HomePageTest","com.automation.tests.HomePageTest","verifyUsernameOnHomePageTest","Verify Top50 Txt on homepage test","TestCase Description: Verify Top50 Txt on homepage"
